"search-number","evaluation","evals-requested-so-far","scale-down-pop*","town*","free-space*","always-search*","tie-houses-to-religion*","data-source*","threshold-sd*","ethnicity*","religion*","measure*","threshold-mean*","color-axis-max*","turnover*","beta-eth*","beta-rel*","neighbor-weight*","others-ignore-ethn*","stop-tick*","always-move*","ethn-rel-recommendations*","dissimilarity-religion*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","30","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","""1488314933""","-0.12584261147422868","-0.12584261147422868","-0.12584261147422868","0","-0.12584261147422868"
"1","31","110","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","""-698541473""","2.014962694500401","2.014962694500401","2.014962694500401","0","2.014962694500401"
"1","32","110","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","""-1535396343""","1.2168367983771449","1.2168367983771449","1.2168367983771449","0","1.2168367983771449"
"1","33","110","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","""-92501912""","-0.3299231630361669","-0.3299231630361669","-0.3299231630361669","0","-0.3299231630361669"
"1","34","110","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","""675204946""","1.2096188790099176","1.2096188790099176","1.2096188790099176","0","1.2096188790099176"
"1","35","110","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","""295957106""","5.010885971290399","5.010885971290399","5.010885971290399","0","5.010885971290399"
"1","36","110","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","""667543421""","-0.54876100397445","-0.54876100397445","-0.54876100397445","0","-0.54876100397445"
"1","37","110","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","""1193757015""","-0.5606111922896753","-0.5606111922896753","-0.5606111922896753","0","-0.5606111922896753"
"1","38","110","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","""-823382239""","-94.45304283493525","-94.45304283493525","-94.45304283493525","0","-94.45304283493525"
"1","39","110","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","""395011078""","36.693707028647935","36.693707028647935","36.693707028647935","0","36.693707028647935"
"1","40","110","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","""-840432301""","0.44240538977024435","0.44240538977024435","0.44240538977024435","0","0.44240538977024435"
"1","41","120","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","""-379905901""","-0.15219877224814657","-0.15219877224814657","-0.15219877224814657","0","-0.15219877224814657"
"1","42","120","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","""-2146627363""","-0.3037977845359609","-0.3037977845359609","-0.3037977845359609","0","-0.3037977845359609"
"1","43","120","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","""465137477""","-0.6905844842401745","-0.6905844842401745","-0.6905844842401745","0","-0.6905844842401745"
"1","44","120","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","""607059533""","-2.415304370845973","-2.415304370845973","-2.415304370845973","0","-2.415304370845973"
"1","45","120","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","""-1557127346""","-173.62248287090463","-173.62248287090463","-173.62248287090463","0","-173.62248287090463"
"1","46","120","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","""-1602977757""","25.379069994136792","25.379069994136792","25.379069994136792","0","25.379069994136792"
"1","47","120","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","""-1786749190""","1.554664777841029","1.554664777841029","1.554664777841029","0","1.554664777841029"
"1","48","120","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","""-1641743243""","-0.027602237495240784","-0.027602237495240784","-0.027602237495240784","0","-0.027602237495240784"
"1","49","120","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","""-895051325""","0.3985749179123773","0.3985749179123773","0.3985749179123773","0","0.3985749179123773"
"1","50","120","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","""-1220918300""","3.5840794505464553","3.5840794505464553","3.5840794505464553","0","3.5840794505464553"
